Row,location,Extent_meters,VBRICH,VBRICH_Grass,VBRICH_Nongrass,VBRICH_unknown,Noncrop_perc,Noncrop_m2,Texture_Dis,Texture_Var
73,Collaborator 13,200,24,10,14,2,84.3356,10597924.06,0.247723183,0.574668321
74,Collaborator 13,300,24,10,14,2,89.6386,25344717.05,0.22702384,0.529164354
75,Collaborator 13,400,24,10,14,2,91.5262,46006086,0.248578382,0.573151447
76,Collaborator 13,500,24,10,14,2,91.0427,71504769.37,0.22972857,0.59364384
77,Collaborator 13,600,24,10,14,2,84.7591,95860283.72,0.210470535,0.55394541
78,Collaborator 13,700,24,10,14,2,77.7189,119638951.4,0.214117311,0.555570606
79,Collaborator 13,800,24,10,14,2,72.8395,146452504.4,0.216863095,0.553327121
80,Collaborator 13,900,24,10,14,2,69.2506,176221312.7,0.215534342,0.554703036
81,Collaborator 14,100,15,11,6,1,7.7064,242103.6963,0.763146067,0.623070244
82,Collaborator 14,1000,15,11,6,1,32.8426,103178070.9,0.262009748,0.60450084
83,Collaborator 14,200,15,11,6,1,9.8015,1231692.816,0.44540484,0.611220073
84,Collaborator 14,300,15,11,6,1,14.2587,4031552.445,0.464373846,0.537789944
85,Collaborator 14,400,15,11,6,1,15.7313,7907413.842,0.39249646,0.515934121
86,Collaborator 14,500,15,11,6,1,16.798,13193118.35,0.385368199,0.479802162
87,Collaborator 14,600,15,11,6,1,20.2247,22873596.82,0.356160141,0.52954565
88,Collaborator 14,700,15,11,6,1,23.7635,36581066.14,0.3164,0.565695279
89,Collaborator 14,800,15,11,6,1,28.5611,57425498.84,0.30048836,0.557257077
90,Collaborator 14,900,15,11,6,1,31.2693,79570676.56,0.29592732,0.531721977
91,Collaborator 15,100,13,9,3,1,12.0945,379959.9235,0.342723127,0.470548063
92,Collaborator 15,1000,13,9,3,1,7.7713,24414258.99,0.249831101,0.519261437
93,Collaborator 15,200,13,9,3,1,5.7516,722767.3723,0.403185893,0.369547067
94,Collaborator 15,300,13,9,3,1,3.4072,963363.104,0.410053706,0.368284694
95,Collaborator 15,400,13,9,3,1,4.9279,2477032.71,0.349930626,0.438891202
96,Collaborator 15,500,13,9,3,1,7.4213,5828675.39,0.324216471,0.428704471
97,Collaborator 15,600,13,9,3,1,9.1611,10360960.01,0.300925948,0.411074587
98,Collaborator 15,700,13,9,3,1,11.0582,17022776.34,0.306235063,0.378156334
99,Collaborator 15,800,13,9,3,1,9.9057,19916591.58,0.240114919,0.537358753
100,Collaborator 15,900,13,9,3,1,8.892,22627383.92,0.250451512,0.520510425
101,Collaborator 16,100,13,10,4,1,41.2319,1295338.341,0.319185532,0.512558833
102,Collaborator 16,1000,13,10,4,1,10.2937,32338612.3,0.180352177,0.648327068
103,Collaborator 16,200,13,10,4,1,21.2962,2676159.419,0.292690229,0.417888595
104,Collaborator 16,300,13,10,4,1,12.7032,3591745.182,0.273008482,0.389065138
105,Collaborator 16,400,13,10,4,1,8.9058,4476543.337,0.253119837,0.375021454
